CopyNo X Y Z Orientation_theta Orientation_phi
50238 12367.24 2628.788 16159.16 38.041 12.0002
50239 10557.92 4700.736 16961.85 34.2689 24.0002
50240 11550.43 5142.635 16159.16 38.041 24.0002
50241 9470.699 6633.652 16958.88 34.2868 35.0089
50242 10228.84 7431.685 16159.16 38.041 36
50243 7733.174 8588.627 16961.85 34.2689 48.0002
50244 8460.141 9396.013 16159.16 38.041 48.0002
50245 5778.509 10008.76 16961.85 34.2689 60.0002
50246 6321.726 10949.65 16159.16 38.041 60.0002
50247 3571.296 10991.47 16961.85 34.2689 72.0002
50248 3907.021 12024.73 16159.16 38.041 72.0002
50249 1208.001 11493.79 16961.85 34.2689 84.0002
50250 1321.56 12574.28 16159.16 38.041 84.0002
50251 -1208.09 11493.78 16961.85 34.2689 96.0002
50252 -1321.66 12574.27 16159.16 38.041 96.0002
50253 -3382.37 11057.08 16958.88 34.2868 107.0089
50254 -3907.07 12024.72 16159.16 38.041 108
50255 -5778.59 10008.72 16961.85 34.2689 120.0002
50256 -6321.81 10949.6 16159.16 38.041 120.0002
50257 -7733.24 8588.567 16961.85 34.2689 132.0002
50258 -8460.21 9395.947 16159.16 38.041 132.0002
50259 -9349.91 6793.055 16961.85 34.2689 144.0002
50260 -10228.9 7431.645 16159.16 38.041 144.0003
50261 -10558 4700.654 16961.85 34.269 156.0003
50262 -11550.5 5142.545 16159.16 38.041 156.0003
50263 -11304.6 2402.811 16961.85 34.269 168.0003
50264 -12367.3 2628.691 16159.16 38.0411 168.0003
50265 -13731.8 -493.035 15236.72 42.0445 -177.9437
50266 -14257 520.6358 14723.06 44.0977 177.9086
50267 -14257 -720.634 14723.06 44.1152 -177.1064
50268 -14782.3 518.9743 14209.31 46.1499 177.9893
50269 -13616.7 -2191.37 15194.76 42.2292 -170.8576
50270 -13330.7 -3536.58 15194.76 42.2291 -165.1419
50271 -14577.6 -2395.63 14233.88 46.065 -170.6676
50272 -14291.7 -3740.84 14233.88 46.0651 -165.332
50273 -12863.5 -4974.55 15194.76 42.2292 -158.8576
50274 -12304.1 -6230.91 15194.76 42.2291 -153.1419
50275 -13761 -5374.13 14233.88 46.0651 -158.6677
50276 -13201.6 -6630.5 14233.88 46.0651 -153.3319
50277 -11548.1 -7540.31 15194.76 42.2291 -146.8575
50278 -10739.8 -8652.92 15194.76 42.2292 -141.142
50279 -12342.9 -8117.77 14233.88 46.065 -146.6676
50280 -11534.6 -9230.37 14233.88 46.0651 -141.332
50281 -9728.06 -9776.53 15194.76 42.2292 -134.8576
50282 -8706.04 -10696.8 15194.76 42.2292 -129.1419
50283 -10385.4 -10506.6 14233.88 46.065 -134.6676
50284 -9363.4 -11426.8 14233.88 46.065 -129.332
50285 -7482.82 -11585.5 15194.76 42.2292 -122.8575
50286 -6291.81 -12273.1 15194.76 42.2292 -117.142
50287 -7974.03 -12436.3 14233.88 46.0651 -122.6676
50288 -6783.01 -13123.9 14233.88 46.0651 -117.3319
50289 -3774.46 -13212.1 15236.72 42.0446 -105.9437
50290 -4900.81 -13398.3 14723.06 44.0977 -110.0914
50291 -3720.29 -13781.9 14723.06 44.1152 -105.1064
50292 -5061.54 -13898.4 14209.31 46.1498 -110.0107
50293 -2123.66 -13627.4 15194.76 42.2292 -98.8576
50294 -755.937 -13771.1 15194.76 42.2291 -93.142
50295 -2226.35 -14604.4 14233.88 46.065 -98.6677
50296 -858.624 -14748.2 14233.88 46.0651 -93.3319
50297 756.0366 -13771.1 15194.76 42.2291 -86.8576
50298 2123.762 -13627.4 15194.76 42.2292 -81.142
50299 858.7306 -14748.2 14233.88 46.0651 -86.6677
50300 2226.456 -14604.4 14233.88 46.065 -81.3319
50301 3602.695 -13313 15194.76 42.2291 -74.8576
50302 4910.643 -12888 15194.76 42.2291 -69.1419
50303 3906.281 -14247.3 14233.88 46.065 -74.6676
50304 5214.23 -13822.4 14233.88 46.0651 -69.332
50305 6291.898 -12273 15194.76 42.2291 -62.8575
50306 7482.905 -11585.4 15194.76 42.2291 -57.1419
50307 6783.109 -13123.8 14233.88 46.065 -62.6676
50308 7974.116 -12436.2 14233.88 46.065 -57.3319
50309 8706.115 -10696.7 15194.76 42.2292 -50.8576
50310 9728.129 -9776.46 15194.76 42.2292 -45.142
50311 9363.482 -11426.8 14233.88 46.0651 -50.6677
50312 10385.5 -10506.5 14233.88 46.065 -45.3318
50313 11399.08 -7672.49 15236.72 42.0446 -33.9437
50314 11228.12 -8801.25 14723.06 44.0977 -38.0914
50315 11957.72 -7797.04 14723.06 44.1151 -33.1064
50316 11654.06 -9108.65 14209.31 46.1498 -38.0107
50317 12304.17 -6230.82 15194.76 42.2292 -26.8576
50318 12863.53 -4974.45 15194.76 42.2292 -21.142
50319 13201.65 -6630.4 14233.88 46.0651 -26.6676
50320 13761.01 -5374.04 14233.88 46.065 -21.332
50321 13330.75 -3536.48 15194.76 42.2292 -14.8576
50322 13616.68 -2191.27 15194.76 42.2292 -9.142
50323 14291.7 -3740.73 14233.88 46.065 -14.6676
50324 14577.63 -2395.52 14233.88 46.0651 -9.3319
50325 13774.72 -687.58 15194.76 42.2292 -2.8576
50326 13774.71 687.6796 15194.76 42.2292 2.858
50327 14757.14 -687.577 14233.88 46.0651 -2.6676
50328 14757.13 687.6833 14233.88 46.0651 2.6681
50329 13616.67 2191.37 15194.76 42.2292 9.1424
50330 13330.73 3536.576 15194.76 42.2292 14.858
50331 14577.61 2395.629 14233.88 46.0651 9.3324
50332 14291.67 3740.836 14233.88 46.065 14.6681
50333 12863.5 4974.547 15194.76 42.2292 21.1424
50334 12304.12 6230.908 15194.76 42.2292 26.858
50335 13760.98 5374.135 14233.88 46.0651 21.3324
50336 13201.6 6630.495 14233.88 46.065 26.6681
50337 10819.48 8470.237 15236.72 42.0446 38.0563
50338 11840.17 7958.845 14723.06 44.0977 33.9086
50339 11110.57 8963.053 14723.06 44.1152 38.8936
50340 12264.15 8268.937 14209.31 46.1498 33.9893
50341 9728.059 9776.531 15194.76 42.2292 45.1424
50342 8706.038 10696.76 15194.76 42.2292 50.858
50343 10385.42 10506.61 14233.88 46.0651 45.3324
50344 9363.399 11426.83 14233.88 46.065 50.668
50345 7482.822 11585.47 15194.76 42.2292 57.1424
50346 6291.809 12273.09 15194.76 42.2292 62.858
50347 7974.026 12436.27 14233.88 46.0651 57.3324
50348 6783.014 13123.89 14233.88 46.0651 62.6681
50349 4910.55 12888.06 15194.76 42.2292 69.1424
50350 3602.599 13313.04 15194.76 42.2292 74.858
50351 5214.13 13822.4 14233.88 46.0651 69.3324
50352 3906.178 14247.37 14233.88 46.0651 74.6681
50353 2123.664 13627.39 15194.76 42.2292 81.1424
50354 755.9373 13771.14 15194.76 42.2292 86.858
50355 2226.351 14604.42 14233.88 46.065 81.3324
50356 858.624 14748.17 14233.88 46.0651 86.6681
50357 -756.037 13771.13 15194.76 42.2292 93.1424
50358 -2123.76 13627.37 15194.76 42.2292 98.858
50359 -858.731 14748.17 14233.88 46.0651 93.3324
50360 -2226.46 14604.41 14233.88 46.0651 98.6681
50361 -4712.27 12907.38 15236.72 42.0445 110.0563
50362 -3910.5 13720.09 14723.06 44.0977 105.9086
50363 -5091.02 13336.51 14723.06 44.1151 110.8936
50364 -4074.4 14219.14 14209.31 46.1498 105.9893
50365 -6291.9 12273.05 15194.76 42.2292 117.1424
50366 -7482.91 11585.41 15194.76 42.2292 122.858
50367 -6783.11 13123.84 14233.88 46.0651 117.3324
50368 -7974.12 12436.21 14233.88 46.0651 122.6681
50369 -8706.11 10696.69 15194.76 42.2292 129.1424
50370 -9728.13 9776.461 15194.76 42.2292 134.858
50371 -9363.48 11426.77 14233.88 46.0651 129.3323
50372 -10385.5 10506.53 14233.88 46.0651 134.6681
50373 -10739.8 8652.842 15194.76 42.2291 141.1423
50374 -11548.2 7540.23 15194.76 42.2292 146.8581
50375 -11534.6 9230.288 14233.88 46.065 141.3323
50376 -12343 8117.676 14233.88 46.0651 146.6681
50377 -12304.2 6230.819 15194.76 42.2292 153.1424
50378 -12863.5 4974.455 15194.76 42.2291 158.858
50379 -13201.7 6630.4 14233.88 46.0651 153.3324
50380 -13761 5374.036 14233.88 46.065 158.668
50381 -13330.8 3536.48 15194.76 42.2293 165.1424
50382 -13616.7 2191.272 15194.76 42.2292 170.858
50383 -14291.7 3740.732 14233.88 46.0651 165.3324
50384 -14577.6 2395.524 14233.88 46.065 170.668
50385 -15706.5 778.4249 13169 50.0567 177.1627
50386 -16176.5 778.4249 12557.36 52.2109 177.245
50387 -16176.5 -838.187 12557.36 52.216 -177.0339
50388 -16646.5 -838.187 11945.72 54.3707 -177.1175
50389 -15563.9 -2497.17 13121.43 50.2253 -170.8848
50390 -15234.1 -4048.77 13121.43 50.2252 -165.1165
50391 -16426.8 -2680.58 11973.47 54.2694 -170.732
50392 -16097 -4232.19 11973.47 54.2694 -165.2693
50393 -14704.6 -5678.52 13121.43 50.2253 -158.8848
50394 -14059.4 -7127.65 13121.43 50.2252 -153.1165
50395 -15510.5 -6037.33 11973.47 54.2694 -158.7319
50396 -14865.3 -7486.46 11973.47 54.2693 -153.2693
50397 -13202.7 -8611.7 13121.43 50.2254 -146.8849
50398 -12270.3 -9895.02 13121.43 50.2253 -141.1166
50399 -13916.4 -9130.22 11973.47 54.2695 -146.7321
50400 -12984 -10413.5 11973.47 54.2694 -141.2695
50401 -11123.7 -11168.5 13121.43 50.2253 -134.8849
50402 -9944.87 -12229.9 13121.43 50.2253 -129.1166
50403 -11714 -11824.1 11973.47 54.2695 -134.732
50404 -10535.1 -12885.5 11973.47 54.2694 -129.2692
50405 -8558.56 -13237.2 13121.43 50.2254 -122.8848
50406 -7184.8 -14030.3 13121.43 50.2253 -117.1166
50407 -8999.63 -14001.2 11973.47 54.2695 -122.7319
50408 -7625.88 -14794.3 11973.47 54.2694 -117.2693
50409 -5593.89 -14697.2 13169 50.0566 -110.8373
50410 -5739.13 -15144.2 12557.36 52.2109 -110.755
50411 -4201.65 -15643.8 12557.36 52.2161 -105.0338
50412 -4346.89 -16090.8 11945.72 54.3707 -105.1175
50413 -2434.58 -15573.9 13121.43 50.2254 -98.8848
50414 -856.996 -15739.7 13121.43 50.2254 -93.1166
50415 -2526.78 -16451.2 11973.47 54.2695 -98.732
50416 -949.203 -16617 11973.47 54.2694 -93.2693
