#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
214 4455.503 -937.849 18893.1 13.5496 -11.8868
215 4535.152 -404.3 18893.1 13.5496 -5.0943
216 4551.138 134.9242 18893.1 13.5496 1.6981
217 4503.236 672.2548 18893.1 13.5496 8.4906
218 4392.119 1200.148 18893.1 13.5496 15.283
219 4219.346 1711.194 18893.1 13.5496 22.0755
220 3987.342 2198.219 18893.1 13.5496 28.8679
221 3699.365 2654.386 18893.1 13.5496 35.6604
222 3359.457 3073.29 18893.1 13.5496 42.4528
223 2972.389 3449.053 18893.1 13.5496 49.2453
224 2543.596 3776.398 18893.1 13.5496 56.0377
225 2079.096 4050.731 18893.1 13.5496 62.8302
226 1585.41 4268.201 18893.1 13.5496 69.6226
227 1069.468 4425.754 18893.1 13.5496 76.4151
228 538.5138 4521.18 18893.1 13.5496 83.2076
229 0 4553.138 18893.1 13.5496 90
230 -538.514 4521.18 18893.1 13.5496 96.7925
231 -1069.47 4425.754 18893.1 13.5496 103.5849
232 -1585.41 4268.201 18893.1 13.5496 110.3774
233 -2079.1 4050.732 18893.1 13.5496 117.1699
234 -2543.6 3776.399 18893.1 13.5496 123.9623
235 -2972.39 3449.053 18893.1 13.5496 130.7547
236 -3359.46 3073.291 18893.1 13.5496 137.5472
237 -3699.36 2654.386 18893.1 13.5496 144.3396
238 -3987.34 2198.219 18893.1 13.5496 151.1321
239 -4219.35 1711.195 18893.1 13.5496 157.9245
240 -4392.12 1200.149 18893.1 13.5496 164.717
241 -4503.24 672.2551 18893.1 13.5496 171.5094
242 -4551.14 134.9244 18893.1 13.5496 178.3019
243 -5067.73 -134.953 18761.14 15.121 -178.4746
244 -5024.67 -672.856 18761.14 15.121 -172.3729
245 -4924.69 -1203.13 18761.14 15.121 -166.2712
246 -4768.9 -1719.78 18761.14 15.121 -160.1695
247 -4559.09 -2216.94 18761.14 15.121 -154.0678
248 -4297.61 -2688.98 18761.14 15.121 -147.9661
249 -3987.44 -3130.56 18761.14 15.121 -141.8644
250 -3632.1 -3536.66 18761.14 15.121 -135.7628
251 -3235.6 -3902.69 18761.14 15.121 -129.6611
252 -2802.43 -4224.51 18761.14 15.121 -123.5593
253 -2337.52 -4498.45 18761.14 15.121 -117.4576
254 -1846.12 -4721.43 18761.14 15.121 -111.3559
255 -1333.81 -4890.92 18761.14 15.121 -105.2543
256 -806.376 -5004.98 18761.14 15.121 -99.1525
257 -269.811 -5062.34 18761.14 15.121 -93.0508
258 269.8113 -5062.34 18761.14 15.121 -86.9492
259 806.3765 -5004.98 18761.14 15.121 -80.8475
260 1333.805 -4890.92 18761.14 15.121 -74.7458
261 1846.121 -4721.43 18761.14 15.121 -68.6441
262 2337.52 -4498.45 18761.14 15.121 -62.5424
263 2802.434 -4224.51 18761.14 15.121 -56.4407
264 3235.595 -3902.69 18761.14 15.121 -50.339
265 3632.096 -3536.66 18761.14 15.121 -44.2373
266 3987.444 -3130.56 18761.14 15.121 -38.1356
267 4297.612 -2688.98 18761.14 15.121 -32.0339
268 4559.086 -2216.94 18761.14 15.121 -25.9322
269 4768.904 -1719.78 18761.14 15.121 -19.8305
270 4924.689 -1203.13 18761.14 15.121 -13.7288
271 5024.675 -672.855 18761.14 15.121 -7.6271
272 5067.729 -134.953 18761.14 15.121 -1.5254
273 5053.364 404.4776 18761.14 15.121 4.5763
274 4981.743 939.326 18761.14 15.121 10.678
275 4853.676 1463.531 18761.14 15.121 16.7797
276 4670.615 1971.154 18761.14 15.121 22.8814
277 4434.634 2456.443 18761.14 15.121 28.983
278 4148.407 2913.9 18761.14 15.121 35.0847
279 3815.177 3338.34 18761.14 15.121 41.1864
280 3438.72 3724.957 18761.14 15.121 47.2881
281 3023.3 4069.368 18761.14 15.121 53.3898
282 2573.625 4367.671 18761.14 15.121 59.4915
283 2094.79 4616.487 18761.14 15.121 65.5932
284 1592.22 4812.996 18761.14 15.121 71.6949
285 1071.61 4954.972 18761.14 15.121 77.7966
286 538.8573 5040.806 18761.14 15.121 83.8983
287 0 5069.526 18761.14 15.121 90
288 -538.858 5040.806 18761.14 15.121 96.1017
289 -1071.61 4954.972 18761.14 15.121 102.2034
290 -1592.22 4812.996 18761.14 15.121 108.3051
291 -2094.79 4616.486 18761.14 15.121 114.4068
292 -2573.62 4367.67 18761.14 15.121 120.5084
293 -3023.3 4069.367 18761.14 15.121 126.6102
294 -3438.72 3724.956 18761.14 15.121 132.7119
295 -3815.18 3338.34 18761.14 15.121 138.8136
296 -4148.41 2913.899 18761.14 15.121 144.9153
297 -4434.63 2456.443 18761.14 15.121 151.0169
298 -4670.61 1971.154 18761.14 15.121 157.1186
299 -4853.68 1463.531 18761.14 15.121 163.2204
300 -4981.74 939.3256 18761.14 15.121 169.322
301 -5053.36 404.4772 18761.14 15.121 175.4237
302 -5567.44 -404.338 18615.06 16.6924 -175.8462
303 -5502.42 -939.786 18615.06 16.6924 -170.3077
304 -5386.03 -1466.46 18615.06 16.6924 -164.7692
305 -5219.36 -1979.44 18615.06 16.6924 -159.2308
306 -5003.95 -2473.94 18615.06 16.6924 -153.6923
307 -4741.82 -2945.34 18615.06 16.6924 -148.1539
308 -4435.41 -3389.24 18615.06 16.6924 -142.6154
309 -4087.6 -3801.5 18615.06 16.6924 -137.0769
310 -3701.62 -4178.26 18615.06 16.6924 -131.5385
311 -3281.08 -4516.01 18615.06 16.6924 -126.0001
312 -2829.9 -4811.6 18615.06 16.6924 -120.4615
313 -2352.3 -5062.26 18615.06 16.6924 -114.9231
314 -1852.74 -5265.66 18615.06 16.6924 -109.3846
