PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
106 HighQENNVT -3203.325 -1436.0268 19114.3112 10.4068 -155.8537 328217088 0.242059 0.974366 12.3621 14953.2 1.10083
107 HighQENNVT -2946.5749 -1908.1825 19114.3112 10.4068 -147.0732 328221184 0.221446 0.98424 11.8261 15224.6 1.11266
108 HighQENNVT -2620.7597 -2335.6119 19114.3112 10.4068 -138.2927 328225280 0.250838 0.979495 6.28708 18534.1 1.09717
109 HighQENNVT -2233.5159 -2708.2967 19114.3112 10.4068 -129.5122 328229376 0.239828 0.979169 11.8431 14541.8 1.10091
110 HighQENNVT -1793.9205 -3017.5012 19114.3112 10.4068 -120.7317 328233472 0.234003 0.974125 22.1041 18144.6 1.11768
111 HighQENNVT -1312.2771 -3255.978 19114.3112 10.4068 -111.9512 328237568 0.250975 0.976783 8.75409 15188.0 1.11334
112 HighQENNVT -799.875 -3418.1375 19114.3112 10.4068 -103.1707 328241664 0.223761 0.985555 8.73209 11509.8 1.0943
113 HighQENNVT -268.7245 -3500.1787 19114.3112 10.4068 -94.3902 328245760 0.219324 0.992841 10.8161 17847.5 1.09903
114 HighQENNVT 268.7244 -3500.1787 19114.3112 10.4068 -85.6098 328249856 0.231717 0.975049 8.49609 17214.8 1.10752
115 HighQENNVT 799.8747 -3418.1376 19114.3112 10.4068 -76.8293 328253952 0.231744 0.972044 14.1181 14932.9 1.09728
116 HighQENNVT 1312.2768 -3255.9782 19114.3112 10.4068 -68.0488 328258048 0.259449 0.973919 14.1971 14773.0 1.09174
117 HighQENNVT 1793.9203 -3017.5013 19114.3112 10.4068 -59.2683 328262144 0.231139 0.965126 11.2341 18564.7 1.09234
118 HighQENNVT 2233.5156 -2708.2969 19114.3112 10.4068 -50.4878 328266240 0.236921 0.960579 13.8931 13731.3 1.09821
119 HighQENNVT 2620.7595 -2335.6121 19114.3112 10.4068 -41.7073 328270336 0.26111 0.972385 6.00409 17136.8 1.103
120 HighQENNVT 2946.5748 -1908.1827 19114.3112 10.4068 -32.9268 328274432 0.240564 0.964482 12.2471 20926.3 1.1042
121 HighQENNVT 3203.3249 -1436.0271 19114.3112 10.4068 -24.1463 328278528 0.237073 0.958159 8.86908 14919.6 1.10113
122 HighQENNVT 3384.9918 -930.2121 19114.3112 10.4068 -15.3659 328282624 0.259221 0.957741 9.62509 17332.3 1.09373
123 HighQENNVT 3487.3173 -402.5939 19114.3112 10.4068 -6.5854 328286720 0.232498 0.95959 12.0041 11442.1 1.11257
124 HighQENNVT 3507.9031 134.4607 19114.3112 10.4068 2.1951 328290816 0.231855 0.969066 11.0651 15405.3 1.10934
125 HighQENNVT 3446.2666 668.3638 19114.3112 10.4068 10.9756 328294912 0.24605 0.978123 7.55408 13753.5 1.12733
